uri,label,category,main_tags,event_tags,architecture_tags
15/01300e3a-9ed0-3102-955f-887d13a13c91,Aire de services municipale,camping,Accommodation;CamperVanArea;CampingAndCaravanning;PlaceOfInterest,"",""
15/02c74295-ac0f-3270-9349-954ab40ecf6d,"Aire d'accueil et de services ""La Guignardière""",camping,Accommodation;CamperVanArea;CampingAndCaravanning;PlaceOfInterest,"",""
15/04d584e4-7ea6-3bd9-831b-654738d76674,Aire de stationnement pour camping-cars - Montlivault,camping,Accommodation;CamperVanArea;CampingAndCaravanning;PlaceOfInterest,"",""
15/31a3f0f5-615b-3a8a-8fab-b97fa9d81b64,Aire de stationnement pour camping-cars -Le Boël,camping,Accommodation;CamperVanArea;CampingAndCaravanning;PlaceOfInterest,"",""
15/35b33fc2-8731-3623-9248-a9749e54f2b4,Aire de stationnement Rue de l'Amiral de Pointis,camping,Accommodation;CamperVanArea;CampingAndCaravanning;PlaceOfInterest,"",""
15/3608855e-cd1c-34fe-9a18-9b1cb2fbf3f4,Aire CAMPING-CAR PARK d'Amboise,camping,Accommodation;CamperVanArea;CampingAndCaravanning;PlaceOfInterest,"",""
15/3d043d7e-075a-3aa3-9ad7-3ec53324bd6a,Aire de stationnement pour camping-cars - rue du Moulin,camping,Accommodation;CamperVanArea;CampingAndCaravanning;PlaceOfInterest,"",""
15/3da6924b-887b-3889-9430-4ac5fbe9604d,Aire de stationnement pour camping-cars - Domaine des Pierrettes,camping,Accommodation;CamperVanArea;CampingAndCaravanning;PlaceOfInterest,"",""
15/415c1c29-361a-3ebd-b6a6-21e3f326661c,Accueil camping-cars - Camping Les Acacias,camping,Accommodation;CamperVanArea;CampingAndCaravanning;PlaceOfInterest,"",""
15/4766fdb7-37a8-320b-8507-b567be169d47,Aire d accueil et de stationnement et de service camping-cars,camping,Accommodation;CamperVanArea;CampingAndCaravanning;PlaceOfInterest,"",""
15/56694810-6295-3f68-8f46-2ed3c83678c6,Aire de stationnement pour camping-cars - Domaine de la Plante d'Or,camping,Accommodation;CamperVanArea;CampingAndCaravanning;PlaceOfInterest,"",""
15/579118a3-aa80-3033-a186-34a6f1f14386,"Aire d'accueil camping-cars ""Le Relais des Berges du Cher"" Azay-sur-Cher",camping,Accommodation;CamperVanArea;CampingAndCaravanning;PlaceOfInterest,"",""
15/5b317cde-e91b-3efa-ab17-11cdca8e65f5,Aire de stationnement pour camping-cars - EARL Badin,camping,Accommodation;CamperVanArea;CampingAndCaravanning;PlaceOfInterest,"",""
