"uri","label","category","main_tags","event_tags","architecture_tags"
"15/0049d959-34e3-3385-a34d-1354ececdbdc","The Originals Tours Sud Pic Epeiche","Hotel","Accommodation;Hotel;HotelTrade;PlaceOfInterest","",""
"15/005cab6f-adfb-3304-936e-811b027a1f68","Le Bistrot du Cuisinier","Resto","FoodEstablishment;PlaceOfInterest;Restaurant","",""
"15/005e849b-8b9f-3815-98ac-168d6776057a","Cellier du Beaujardin","tasting","Cooperative;PlaceOfInterest;TastingProvider;WineCellar","Practice;Product;Tasting",""
"15/0064ecb3-df79-345c-aae3-231b255e1b5b","Château-monastère de la Corroirie","gite","Accommodation;Guesthouse;PlaceOfInterest;RentalAccommodation","",""
"15/007a5eff-1ed7-3f1e-aaac-cea9d95e3ff1","La Restrie du Bas","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/008a42af-78b6-3946-b72c-be46b2f8203c","Le tulipier de virginie","gite","Accommodation;Guesthouse;PlaceOfInterest;RentalAccommodation","",""
"15/00b4daec-db5b-3d56-8736-23b2522bf80e","La Longère aux Hortensias","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/00b6f8df-01e1-39f7-86fb-84b6c9fa21e8","L'Ange est Rêveur","gite","Accommodation;Guesthouse;PlaceOfInterest;RentalAccommodation","",""
"15/00bf4198-cbbd-38cb-a2d8-c78c4eda1f8d","Gîte chanzy","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/00e62f7d-0eb4-3ce3-a7ba-5e0b666c0dae","La Rose des Vents","Hotel","Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant","",""
"15/00e8d121-18ba-339b-946f-09896707b893","Les Passerelles","museum","CulturalSite;Museum;PlaceOfInterest;TechnicalHeritage","",""
"15/00eed35d-b068-3d71-8684-04efb201e1f6","Hôtel Astéries","Hotel","Accommodation;Hotel;HotelTrade;PlaceOfInterest","",""
"15/01300e3a-9ed0-3102-955f-887d13a13c91","Aire de services municipale","camping","Accommodation;CamperVanArea;CampingAndCaravanning;PlaceOfInterest","",""
"15/014fb041-1460-39d2-bdeb-966defd6733d","Cave de la Berthelotière","tasting","PlaceOfInterest;TastingProvider;WineCellar","Practice;Product;Tasting",""
"15/01db1d61-653d-3856-9e11-e4425ba246f8","L'Harteloire","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
