"type","seq_id","item_id","main_tags","event_tags","archi_tags"
"campeur","0","0","CamperVanArea","",""
"campeur","0","1","ParkAndGarden","",""
"campeur","0","2","ParkAndGarden","",""
"campeur","0","3","Church","","Roman"
"campeur","0","4","StopOverOrGroupLodge","",""
"campeur","0","5","CamperVanArea","",""
"campeur","0","6","CamperVanArea","",""
"campeur","0","7","CamperVanArea","",""
"campeur","0","8","ParkAndGarden","",""
"campeur","0","9","Tower;Cloister;TechnicalHeritage;Cathedral","",""
"campeur","0","10","Abbey;Cloister;Church","","Gothique;Roman"
"campeur","0","11","ParkAndGarden","",""
"campeur","0","12","ParkAndGarden","",""
"campeur","0","13","CamperVanArea","",""
"campeur","0","14","CamperVanArea","",""
"campeur","1","0","CamperVanArea","",""
"campeur","1","1","NaturalHeritage","",""
"campeur","1","2","CamperVanArea","",""
"campeur","1","3","YouthHostelAndInternationalCenter","",""
"campeur","1","4","LocalTouristOffice;IncomingTravelAgency","",""
"campeur","1","5","CamperVanArea","",""
"campeur","1","6","CamperVanArea","",""
"campeur","1","7","SportsAndLeisurePlace;EquipmentRepairShop;EquipmentRentalShop","AccompaniedPractice;Product;Practice;Rental;EquipmentRental;FreePractice",""
"campeur","1","8","ParkAndGarden","",""
"campeur","1","9","Museum","",""
"campeur","1","10","CamperVanArea","",""
"campeur","1","11","CamperVanArea","",""
"campeur","2","0","CamperVanArea","",""
"campeur","2","1","NaturalHeritage;Museum","","Contemporain"
"campeur","2","2","ParkAndGarden","",""
"campeur","2","3","ParkAndGarden","",""
"campeur","2","4","NaturalHeritage","",""
"campeur","2","5","ParkAndGarden;Tower;Castle","",""
"campeur","2","6","ParkAndGarden","","Contemporain"
"campeur","2","7","Museum","",""
"campeur","2","8","CamperVanArea","",""
"campeur","2","9","CamperVanArea","",""
"campeur","2","10","CamperVanArea","",""
"campeur","2","11","ParkAndGarden","",""
"campeur","2","12","ParkAndGarden","",""
"campeur","2","13","Church","","Roman"
"campeur","2","14","LocalTouristOffice;IncomingTravelAgency","",""
"campeur","2","15","CamperVanArea","",""
"campeur","3","0","CamperVanArea","",""
"campeur","3","1","Ruins;Museum;Castle","",""
"campeur","3","2","NaturalHeritage;Museum","",""
"campeur","3","3","ParkAndGarden","",""
"campeur","3","4","ParkAndGarden","",""
"campeur","3","5","Tower;Cloister;TechnicalHeritage;Cathedral","",""
"campeur","3","6","CamperVanArea","",""
"campeur","3","7","YouthHostelAndInternationalCenter","",""
"campeur","3","8","CamperVanArea","",""
"campeur","3","9","CamperVanArea","",""
"campeur","3","10","CafeOrTeahouse;Restaurant","",""
"campeur","3","11","Castle","",""
"campeur","3","12","ParkAndGarden;Museum;TechnicalHeritage;Castle","",""
"campeur","3","13","NaturalHeritage","",""
"campeur","3","14","CamperVanArea","",""
"campeur","3","15","GroupLodging","",""
"campeur","3","16","YouthHostelAndInternationalCenter","",""
"campeur","3","17","CamperVanArea","",""
"campeur","4","0","CamperVanArea","",""
"campeur","4","1","GroupLodging","",""
"campeur","4","2","CamperVanArea","",""
"campeur","4","3","CamperVanArea","",""
"campeur","4","4","CamperVanArea","",""
"campeur","4","5","SportsAndLeisurePlace;EquipmentRentalShop","AccompaniedPractice;Rental;Practice;Product;Course;DevelopmentCourse;IntroductionCourse;EquipmentRental;FreePractice",""
"campeur","4","6","Museum","",""
"campeur","4","7","LocalTouristOffice;IncomingTravelAgency","",""
"campeur","4","8","CamperVanArea","",""
"campeur","5","0","CamperVanArea","",""
"campeur","5","1","NaturalHeritage","",""
"campeur","5","2","SportsAndLeisurePlace","AccompaniedPractice;Practice;Product;Course;DevelopmentCourse;IntroductionCourse;FirstPractice",""
"campeur","5","3","Castle","",""
"campeur","5","4","GroupLodging","",""
"campeur","5","5","ParkAndGarden","",""
"campeur","5","6","CamperVanArea","",""
"campeur","5","7","LocalTouristOffice;IncomingTravelAgency","",""
"campeur","5","8","CamperVanArea","",""
"campeur","5","9","CamperVanArea","",""
"campeur","5","10","SportsAndLeisurePlace;EquipmentRentalShop","AccompaniedPractice;MultiActivity;Practice;Product;Course;Rental;EquipmentRental;FreePractice",""
"campeur","5","11","ParkAndGarden;CaveSinkholeOrAven","",""
"campeur","5","12","CamperVanArea","",""
"campeur","5","13","LocalTouristOffice;IncomingTravelAgency","",""
"campeur","5","14","GroupLodging","",""
"campeur","5","15","CamperVanArea","",""
"campeur","6","0","CamperVanArea","",""
"campeur","6","1","Citadel;Castle","",""
"campeur","6","2","YouthHostelAndInternationalCenter","",""
"campeur","6","3","SportsAndLeisurePlace;EquipmentRentalShop","AccompaniedPractice;MultiActivity;Practice;Product;Rental;EquipmentRental;FreePractice",""
"campeur","6","4","ParkAndGarden","",""
"campeur","6","5","HolidayResort","",""
"campeur","6","6","CamperVanArea","",""
"campeur","6","7","GroupLodging","",""
"campeur","6","8","CamperVanArea","",""
"campeur","6","9","CamperVanArea","",""
"campeur","6","10","ParkAndGarden","",""
"campeur","6","11","ParkAndGarden;Castle","",""
"campeur","6","12","WineCellar;Producer","Practice;Product;Tasting",""
"campeur","6","13","Museum;TechnicalHeritage","",""
"campeur","6","14","SportsAndLeisurePlace","AccompaniedPractice;MultiActivity;Practice;Product;Course;DevelopmentCourse;IntroductionCourse;FirstPractice",""
"campeur","6","15","Museum;TechnicalHeritage","",""
"campeur","6","16","NaturalHeritage","",""
"campeur","6","17","ParkAndGarden","",""
"campeur","6","18","ParkAndGarden;PigeonLoft;Museum;Castle","",""
"campeur","6","19","NaturalHeritage;Mill","",""
"campeur","6","20","ParkAndGarden","",""
"campeur","6","21","ParkAndGarden;Castle","",""
"campeur","6","22","ParkAndGarden;Castle","",""
"campeur","6","23","ParkAndGarden;PigeonLoft;Museum;Castle","",""
"campeur","6","24","CamperVanArea","",""
"campeur","6","25","LocalTouristOffice;IncomingTravelAgency","",""
"campeur","6","26","CamperVanArea","",""
"campeur","7","0","CamperVanArea","",""
"campeur","7","1","Church;Museum","",""
"campeur","7","2","Museum;TechnicalHeritage","",""
"campeur","7","3","GroupLodging","",""
